Brewery,Beer Name,Description,ABV,Festival Location
Hudson Valley,An Even More Sour Adaptation of ...,"Sour Double IPA w/ Blackberry, Tangerine, Coconut, Vanilla & Milk Sugar (Evil Twin NYC & Root + Branch Collab.)",8.0%,Gargoyle
Hudson Valley,Tradewinds V,"Sour Double IPA w/ Blueberry, Earl Grey Tea, Lemon, Pineapple, Almonds & Milk Sugar",8.0%,Gargoyle
Human Robot,Festbier,Festbier,5.6%,Poseidon
Human Robot,Hallertau Pils,German Pilsner w/ Hallertau Mittelfrüh Hops,5.2%,Poseidon
Humble Sea,Boatloads of Citra,Hazy IPA w/ Citra + Milk Sugar,6.5%,Drogon
Humble Sea,Humblefest,Pale Lager (Sierra Nevada Collab.),5.0%,Drogon
Imprint,Almond Cookie,Imperial Stout w/ Almonds & Cookies,11.0%,Medusa
Imprint,Cognac Barrel-Aged Quad Berry Schmoojee,"Cognac Barrel-Aged Fruited Sour Ale w/ Raspberry, Strawberry, Blackberry, Blueberry & Milk Sugar",8.8%,Medusa
Imprint,My Morning Haze,"Hazy Double IPA w/ Mosaic, Galaxy & Nelson Sauvin",8.0%,Medusa
Imprint,Schmoojee Strawberry Cotton Candy,"Fruited Sour Ale w/ Strawberry, Cotton Candy & Milk Sugar",6.0%,Medusa
J. Wakefield,Barrel-Aged Man In The Box,"Bourbon Barrel-Aged Imperial Stout w/ Coconut, Hazelnuts, Coffee & Vanilla (Toppling Goliath Collab.)",14.0%,Jabberwock
J. Wakefield,Haterade,Fruited Sour Ale w/ Mixed Fruit,6.0%,Jabberwock
J. Wakefield,"Pils, Pils, Pils",German Pilsner,4.8%,Jabberwock
Jackie O's,Appervation,Bourbon Barrel-Aged Imperial Stout (Side Project Collab.),13.5%,Rodan
Jackie O's,Cresting Wave,Vin Santo Barrel-Aged Mixed Fermentation Ale w/ Nori & Sea Salt,5.7%,Rodan
Jester King,Provenance: Lemon Lime,Mixed Fermentation Ale w/ Lemon & Lime,5.7%,Gargoyle
Jester King,Synthesis Analogous,Sherry Barrel-Aged Mixed Fermentation Ale w/ Raspberry & Blackberry,7.9%,Gargoyle
Juicy,Mega Fresh: MPPH,"Fruited Sour Ale w/ Mango, Pineapple, Passionfruit, Honey & Milk Sugar (The Answer Collab.)",4.0%,Rodan
Juicy,Opaque: GMC,"Hazy IPA w/ Galaxy, Motueka & Citra",6.0%,Rodan
Juicy,Summer Mood,Dry-Hopped Kölsch,5.0%,Rodan
Keeping Together,Creatures of Infinite Contradiction,Mixed Fermentation Ale w/ Cabernet Franc & Merlot Wine Grape Must,8.7%,Rodan
Keeping Together,Dreaming of a Common Language,"Mixed Fermentation Ale w/ Hallertau Tradition, Tettnanger & Saaz Hops",6.7%,Rodan
Kings,Fros'e: Blue Raspberry Lemonade,"Fruited Sour Ale w/ Blueberry, Raspberry, Blue Raspberry & Lemon",7.0%,Medusa
Kings,Fros'e: Gelato Fruit Roll-Ups,"Fruited Sour Ale w/ Blueberry, Orange, Tangerine, Coconut & Fruit Roll-Ups",7.0%,Medusa
Lambiek Fabriek,Lambiek Fabriek Juicy & Wild Muscar-Elle 2022,Fruit Lambic w/ Muscaris Wine Grapes,8.8%,Poseidon
Lambiek Fabriek,Lambiek Fabriek Oude Geuze Brett-Elle 2022,Gueuze,6.3%,Poseidon
Lawson's,Little Sip,American IPA,6.2%,Medusa
Lawson's,Triple Sunshine,Triple IPA,10.5%,Medusa
Long Live,Frozie Cup: Peach & Pals,"Fruited Sour Ale w/ Peach, Passionfruit & Black Currant",4.0%,Drogon
Long Live,Small Joys: Marshmallow,"Imperial Stout w/ Chocolate, Almonds, Coconut, Marshmallows & Milk Sugar",13.0%,Drogon
Long Live,The All Seeing Eye,"Hazy Double IPA w/ Simcoe, Citra & Kohatu",8.4%,Drogon
Lost Boy,Barrel-Aged,Bourbon Barrel-Aged Dry Cider,6.9%,Cyclops
Lost Boy,Cannonball,"Dry Cider w/ Coconut, Pineapple, Peach & Banana",6.9%,Cyclops
